"t","x","U","Y"
0.3,0.025,-2.35421473205162,0.110963906946107
0.325,0.025,-2.47454308857389,0.0653873737310616
0.35,0.025,-2.6578844622408,0.017164077683323
0.375,0.025,-2.93928424711353,-0.0359076333789438
0.4,0.025,-3.32869365856926,-0.0965792780538927
0.425,0.025,-3.80973427893929,-0.167487353502617
0.45,0.025,-4.34374944842657,-0.250530619964198
0.475,0.025,-4.8777157297565,-0.346406506666091
0.5,0.025,-5.3537643538157,-0.454377383624067
0.525,0.025,-5.71792911168182,-0.572272351612639
0.55,0.025,-5.92624256588512,-0.696682643506615
0.575,0.025,-5.94724927415584,-0.823263419455217
0.6,0.025,-5.76113886476475,-0.947058768083913
0.625,0.025,-5.35667917585673,-1.06276974000574
0.65,0.025,-4.72771461846459,-1.16493829029851
0.675,0.025,-3.87105252188108,-1.2480522724346
0.7,0.025,-2.7870614890981,-1.30662682166686
0.725,0.025,-1.48340171589419,-1.33533512008527
0.75,0.025,0.0188060304537499,-1.32925926728491
0.775,0.025,1.67804436651378,-1.284301086438
0.8,0.025,3.42700394223586,-1.1977459825992
0.825,0.025,5.17101275713894,-1.06891145206293
0.85,0.025,6.79194147027598,-0.899764700548286
0.875,0.025,8.15801435571134,-0.695365215341136
0.9,0.025,9.13851347969871,-0.464001042633819
0.925,0.025,9.62101856294099,-0.21692255379137
0.95,0.025,9.52801771795418,0.0323430552846721
0.975,0.025,8.82962522981893,0.269041719927966
1,0.025,7.54987216751005,0.478470561988198
0,0.05,3.89469782580607,-0.00706407819776623
0.025,0.05,4.01180802947802,0.0915406378482397
0.05,0.05,3.82820242523201,0.189127245622085
0.075,0.05,3.38159523261497,0.278822687263189
0.1,0.05,2.73328580380337,0.355016762647438
0.125,0.05,1.95910130532555,0.413826161274011
0.15,0.05,1.13885926923982,0.453314312358363
0.175,0.05,0.345549166533601,0.473445744812886
0.2,0.05,-0.364335418430227,0.475781350953848
0.225,0.05,-0.957780907979612,0.462968095021802
0.25,0.05,-1.42825360431595,0.438102265734321
0.275,0.05,-1.79401177193223,0.404081701806631
0.3,0.05,-2.09194533472863,0.363059397198133
0.325,0.05,-2.36814595937398,0.316100327031237
0.35,0.05,-2.66718334943723,0.263097516411355
0.375,0.05,-3.02235695608155,0.202949347383075
0.4,0.05,-3.44888650555678,0.133948464063391
0.425,0.05,-3.94121127489887,0.0542880150738199
0.45,0.05,-4.47450074885621,-0.037421627442615
0.475,0.05,-5.00946281507061,-0.141722479915075
0.5,0.05,-5.49890374468559,-0.258030238511422
0.525,0.05,-5.89428610611442,-0.384527242923714
0.55,0.05,-6.15088690779459,-0.518211024034293
0.575,0.05,-6.23079480347973,-0.655048176459747
0.6,0.05,-6.10380206226441,-0.790179058272772
0.625,0.05,-5.74691912789939,-0.918127127905666
0.65,0.05,-5.1436826710299,-1.03298924851889
0.675,0.05,-4.28441870009785,-1.12861318394696
0.7,0.05,-3.16829431913953,-1.19879992460229
0.725,0.05,-1.8072976829431,-1.23756994400821
0.75,0.05,-0.231472801196323,-1.2395398585479
0.775,0.05,1.50600168899172,-1.2004198736787
0.8,0.05,3.32573089398171,-1.11760885687151
0.825,0.05,5.1228178885573,-0.990815304286029
0.85,0.05,6.77256139182329,-0.822596537692022
0.875,0.05,8.14127070730342,-0.618690768632438
0.9,0.05,9.1010701122235,-0.388029856786153
0.925,0.05,9.54639345259517,-0.142363894846087
0.95,0.05,9.40920167250919,0.104505212888444
0.975,0.05,8.66994244836142,0.337811331855627
1,0.05,7.36200205848914,0.543094501898695
0,0.075,4.7057383863009,-0.00264993772818294
0.025,0.075,5.00013497512853,0.115575992429762
0.05,0.075,4.97800345297522,0.236856841431085
0.075,0.075,4.66281427736017,0.353702202691356
0.1,0.075,4.10264539385923,0.459535375360914
0.125,0.075,3.3629322566607,0.549212402261058
0.15,0.075,2.51762752024485,0.619340830393048
0.175,0.075,1.63965709116392,0.668368145276586
0.2,0.075,0.791819339967969,0.696436227413157
0.225,0.075,0.0194344911488141,0.705026636481087
0.25,0.075,-0.654017164480438,0.696458585405846
0.275,0.075,-1.22745186260578,0.673325993556286
0.3,0.075,-1.71882149452019,0.637970599727883
0.325,0.075,-2.15855361766344,0.592085707211808
0.35,0.075,-2.58120818790386,0.536513053692095
0.375,0.075,-3.01711161656942,0.471254414484338
0.4,0.075,-3.48560804751115,0.395677931586761
0.425,0.075,-3.9910519624661,0.30886263998797
0.45,0.075,-4.52190565586396,0.210000297003794
0.475,0.075,-5.05255981623278,0.0987845305376349
0.5,0.075,-5.54697734607742,-0.0242786637517776
0.525,0.075,-5.96307400564635,-0.157668628139783
0.55,0.075,-6.25687648177607,-0.298762298061279
0.575,0.075,-6.38588716444044,-0.443849993956216
0.6,0.075,-6.31154785015296,-0.58822761974881
0.625,0.075,-6.00111265638515,-0.726345882316044
0.65,0.075,-5.429485305384,-0.852002840509424
0.675,0.075,-4.58160327976668,-0.958584580158331
0.7,0.075,-3.4557214394109,-1.03936693053532
0.725,0.075,-2.06750765309335,-1.08790027650407
0.75,0.075,-0.454325802428826,-1.09848574798861
0.775,0.075,1.32142049320068,-1.06674029373758
0.8,0.075,3.17128441980931,-0.990205090949059
0.825,0.075,4.98344299973942,-0.868930037855069
0.85,0.075,6.62980800790962,-0.705934570432764
0.875,0.075,7.97748156466842,-0.507436667629874
0.9,0.075,8.90334576836382,-0.282760841818437
0.925,0.075,9.30960747041697,-0.0438751948458133
0.95,0.075,9.13754051784482,0.195430079311757
0.975,0.075,8.37673576332368,0.420641071968545
1,0.075,7.0678897830592,0.617760236464481
0,0.1,5.47059624863839,-0.00697488477085985
0.025,0.1,5.96044893369951,0.130569739747648
0.05,0.1,6.11830919861444,0.275709256706383
0.075,0.1,5.95223547062194,0.420319390841336
0.1,0.1,5.49631366514342,0.556819334814322
0.125,0.1,4.80518081826499,0.678754880202322
0.15,0.1,3.94677734203997,0.781222979288198
0.175,0.1,2.99394605364188,0.86110039066372
0.2,0.1,2.01579092554175,0.917054168207834
0.225,0.1,1.06991667587734,0.949344939875597
0.25,0.1,0.196721758228982,0.959456805421798
0.275,0.1,-0.583321374658423,0.949619038431483
0.3,0.1,-1.26900996309197,0.922303069901033
0.325,0.1,-1.87463846452198,0.879778490020567
0.35,0.1,-2.42399911903708,0.82379677440327
0.375,0.1,-2.94343530723859,0.755445157348803
0.4,0.1,-3.4552647543001,0.675177692935494
0.425,0.1,-3.97263537770912,0.582995801293887
0.45,0.1,-4.49642183000219,0.478737134482054
0.475,0.1,-5.01426029306129,0.362410943693129
0.5,0.1,-5.50146149951269,0.234528947140655
0.525,0.1,-5.92330470240577,0.0963885457455749
0.55,0.1,-6.23819529958081,-0.0497253330507653
0.575,0.1,-6.40127120828384,-0.200430029155197
0.6,0.1,-6.36819632932579,-0.351237134395
0.625,0.1,-6.09904179955619,-0.496645370628458
0.65,0.1,-5.56226960628431,-0.630330439359225
0.675,0.1,-4.73885797650547,-0.745432382428289
0.7,0.1,-3.62651677641189,-0.834935747945054
0.725,0.1,-2.24374259545332,-0.892142037988129
0.75,0.1,-0.633163110413788,-0.911219377450659
0.775,0.1,1.13665659388632,-0.887805260896932
0.8,0.1,2.97194404291207,-0.819611584453136
0.825,0.1,4.75788379866855,-0.706963539694464
0.85,0.1,6.36666919073337,-0.553184495401736
0.875,0.1,7.66915538732242,-0.36473655407034
0.9,0.1,8.54890846368121,-0.151046853922897
0.925,0.1,8.91660564807445,0.0760145589131856
0.95,0.1,8.72228364363447,0.302978058872477
0.975,0.1,7.96300987667279,0.515858256339616
1,0.1,6.68427325022128,0.701337438945099
0,0.125,6.16641908884733,-0.0254635181784307
0.025,0.125,6.86603573040439,0.130818821603585
0.05,0.125,7.21791536968284,0.299601363240025
0.075,0.125,7.21402171030181,0.472100390269632
0.1,0.125,6.87418798522324,0.639698008163771
0.125,0.125,6.24232688023431,0.794597937402377
0.15,0.125,5.38060386577214,0.930361291027517
0.175,0.125,4.3620068843773,1.04227493984916
0.2,0.125,3.26202012016161,1.12751663968874
0.225,0.125,2.15038818503467,1.18510800005734
0.25,0.125,1.0841024501033,1.21567077820423
0.275,0.125,0.102627947047364,1.22103074699176
0.3,0.125,-0.773969872418157,1.20373783322382
0.325,0.125,-1.54386342795576,1.16657971309046
0.35,0.125,-2.21968517062699,1.11216310476569
0.375,0.125,-2.82295927976335,1.04262122100588
0.4,0.125,-3.37777352966127,0.959478782529825
0.425,0.125,-3.90469042209228,0.863680293160469
0.45,0.125,-4.41571417652937,0.75576321994324
0.475,0.125,-4.91086128298278,0.636135684505999
0.5,0.125,-5.37662255314908,0.505413442496986
0.525,0.125,-5.78636630015388,0.364761486387595
0.55,0.125,-6.10254516735251,0.216191397525487
0.575,0.125,-6.28041244136047,0.0627726064503678
0.6,0.125,-6.27284657908902,-0.0912750862061702
0.625,0.125,-6.03580322042112,-0.240623325290752
0.65,0.125,-5.53394990434935,-0.379017894390806
0.675,0.125,-4.74605100544674,-0.499594302477879
0.7,0.125,-3.66975451675681,-0.595309679912748
0.725,0.125,-2.32542654703989,-0.659468538286468
0.75,0.125,-0.758598543908717,-0.686311035538032
0.775,0.125,0.959504948733007,-0.671623276282155
0.8,0.125,2.73398840801538,-0.613318175017422
0.825,0.125,4.45140903019616,-0.511920571071048
0.85,0.125,5.98821129921751,-0.370881549365933
0.875,0.125,7.22209767303244,-0.196650020308819
0.9,0.125,8.04519267946139,0.00155623050633376
0.925,0.125,8.3771397838772,0.212296410921858
0.95,0.125,8.17588810591158,0.422740998571938
0.975,0.125,7.4439857504891,0.619707065103351
1,0.125,6.22890889220457,0.79076622188319
0,0.15,6.78003171779007,-0.0612736930795634
0.025,0.15,7.6986851034132,0.112920727674545
0.05,0.15,8.25330425786668,0.304759451923475
0.075,0.15,8.41958795451209,0.504774709099048
0.1,0.15,8.20333508923413,0.703292094068451
0.125,0.15,7.63818568273971,0.891165469154637
0.15,0.15,6.78101847345562,1.06042754680345
0.175,0.15,5.70528589800848,1.20479291545538
0.2,0.15,4.49285304246977,1.31997104130635
0.225,0.15,3.22523039486666,1.40375841242054
0.25,0.15,1.97530719814823,1.45591155368575
0.275,0.15,0.800693455172389,1.47782622989378
0.3,0.15,-0.260446841829434,1.47208046816922
0.325,0.15,-1.19059376740334,1.44191150107162
0.35,0.15,-1.99110657548058,1.39070794498172
0.375,0.15,-2.67794193065387,1.32158546987332
0.4,0.15,-3.27562994465141,1.23710362864365
0.425,0.15,-3.81045633857903,1.13915360428332
0.45,0.15,-4.30384393650712,1.02902113770258
0.475,0.15,-4.76686489821059,0.907602469627723
0.5,0.15,-5.19663729138472,0.775731032252666
0.525,0.15,-5.57511672473695,0.634556037858745
0.55,0.15,-5.87043928324372,0.485905552003541
0.575,0.15,-6.04061954814173,0.332572523886
0.6,0.15,-6.03905000179836,0.178472906999905
0.625,0.15,-5.82102105674577,0.0286436683550267
0.65,0.15,-5.35041085359789,-0.110926236367662
0.675,0.15,-4.60578698607781,-0.233620427760646
0.7,0.15,-3.58535518281615,-0.332648987941527
0.725,0.15,-2.31037624799952,-0.401588449105277
0.75,0.15,-0.826789747783844,-0.434970760160396
0.775,0.15,0.795225044913855,-0.428868312621248
0.8,0.15,2.46406828060749,-0.381429914518088
0.825,0.15,4.07219736899665,-0.293303710394987
0.85,0.15,5.50435321788211,-0.167889731872199
0.875,0.15,6.64814715023693,-0.0113622658826409
0.9,0.15,7.4060076200171,0.167581816675368
0.925,0.15,7.70685649366275,0.358259358339714
0.95,0.15,7.51550358988519,0.548788680696434
0.975,0.15,6.83782740379752,0.727049537035526
1,0.15,5.72041615670758,0.881693106532289
0,0.175,7.30784773495084,-0.114951500811057
0.025,0.175,8.4486272705303,0.0761256105821438
0.05,0.175,9.20865123805869,0.290079825665161
0.075,0.175,9.54771654775315,0.516747030800196
0.1,0.175,9.45822815095726,0.745398900525175
0.125,0.175,8.96427646258749,0.965564297678685
0.15,0.175,8.11804127556315,1.16778964167272
0.175,0.175,6.99368518870388,1.34427097355266
0.2,0.175,5.67922634623091,1.48930232043419
0.225,0.175,4.26721369328075,1.59949342673934
0.25,0.175,2.84530782035535,1.67374723213559
0.275,0.175,1.4879556151872,1.71300720095235
0.3,0.175,0.250230258593665,1.71982238534962
0.325,0.175,-0.835408333579955,1.69779652259418
0.35,0.175,-1.75910341612774,1.65100446978746
0.375,0.175,-2.53048096369465,1.58345839698841
0.4,0.175,-3.17298111446386,1.49869766654885
0.425,0.175,-3.71656234987435,1.39955190121832
0.45,0.175,-4.18990829822444,1.28810195902862
0.475,0.175,-4.61336608245464,1.16583013245892
0.5,0.175,-4.99375297345364,1.03392166058467
0.525,0.175,-5.32186394718813,0.893651856764322
0.55,0.175,-5.57307555275535,0.746784113494533
0.575,0.175,-5.71087966864452,0.59590016183588
0.6,0.175,-5.69267175771291,0.444598832813284
0.625,0.175,-5.47676528516298,0.297523965141667
0.65,0.175,-5.02949680002379,0.16021403713807
0.675,0.175,-4.33145049946538,0.0387865158361338
0.7,0.175,-3.38213544989027,-0.060501685180551
0.725,0.175,-2.202811562258,-0.131771940278161
0.75,0.175,-0.837373249747386,-0.170071909453088
0.775,0.175,0.648708157970442,-0.171904757874055
0.8,0.175,2.17146275777334,-0.135695393581055
0.825,0.175,3.63364673455681,-0.0621480661614767
0.85,0.175,4.93215419533449,0.0455548836922591
0.875,0.175,5.96734594990732,0.181757847916327
0.9,0.175,6.65348280369553,0.338574457324442
0.925,0.175,6.92889369815537,0.506379689669353
0.95,0.175,6.76410901434466,0.674518169740605
0.975,0.175,6.16621456291236,0.832161779946207
1,0.175,5.17819516337233,0.969202985966957
0,0.2,7.7545646680437,-0.184523373324896
0.025,0.2,9.11338271375412,0.0222511572104888
0.05,0.2,10.0747944946826,0.257055145217227
0.075,0.2,10.5835965064831,0.509035580400373
0.1,0.2,10.6198110797077,0.766446517493619
0.125,0.2,10.1988779743705,1.01755246070048
0.15,0.2,9.36882894174257,1.25149420245786
0.175,0.2,8.20456525563399,1.45903814979736
0.2,0.2,6.79966761481453,1.63314244253064
0.225,0.2,5.25654109963689,1.76928723710959
0.25,0.2,3.67600233675044,1.86554057058517
0.275,0.2,2.14757135961441,1.92236796782719
0.3,0.2,0.741670223120908,1.94221966589611
0.325,0.2,-0.495285323596647,1.92896238928978
0.35,0.2,-1.54234580643086,1.88724062354119
0.375,0.2,-2.40192667810204,1.82185703705201
0.4,0.2,-3.0945804002947,1.73725902477707
0.425,0.2,-3.65150628483282,1.63719855821832
0.45,0.2,-4.10605505312759,1.52460068286573
0.475,0.2,-4.48565433872757,1.40164430017084
0.5,0.2,-4.80554505318519,1.27001956430741
0.525,0.2,-5.06538152929222,1.13129583652995
0.55,0.2,-5.24921768628751,0.987319641486475
0.575,0.2,-5.32872319983315,0.840554620502322
0.6,0.2,-5.26883656414974,0.69429589052058
0.625,0.2,-5.03466744556848,0.552716546254
0.65,0.2,-4.59835204405225,0.4207381862654
0.675,0.2,-3.94479599311746,0.303746944551901
0.7,0.2,-3.07566923887472,0.207200214842727
0.725,0.2,-2.01147625445719,0.136168751923159
0.75,0.2,-0.791824940439508,0.0948709330155158
0.775,0.2,0.525890417478223,0.0862302739568048
0.8,0.2,1.8692928436023,0.111496059656283
0.825,0.2,3.15539791580457,0.169958914821572
0.85,0.2,4.29666163740786,0.258793985266838
0.875,0.2,5.20862116194593,0.373071106549729
0.9,0.2,5.81857815735829,0.505960211246012
0.925,0.2,6.07422696395522,0.649145560449456
0.95,0.2,5.95068649511952,0.793427448619466
0.975,0.2,5.45432024015222,0.929452371733006
1,0.2,4.62217443747167,1.04847985472527
0,0.225,8.13110066828173,-0.265934791253557
0.025,0.225,9.69598877422873,-0.0447476901148203
0.05,0.225,10.8476424802211,0.209356113071977
0.075,0.225,11.5172876483931,0.484871223758954
0.1,0.225,11.6739094517664,0.769105911022606
0.125,0.225,11.3252959550346,1.04916346391421
0.15,0.225,10.5157658123033,1.31289921800903
0.175,0.225,9.32067441498916,1.54977231068355
0.2,0.225,7.83812736576042,1.75151119114892
0.225,0.225,6.17868649336179,1.91253542718491
0.25,0.225,4.45419865731356,2.03009967511839
0.275,0.225,2.76704719114999,2.10415740725814
0.3,0.225,1.20112819908373,2.1369742919623
0.325,0.225,-0.184334147260594,2.13255731822893
0.35,0.225,-1.35740576427833,2.09598240470439
0.375,0.225,-2.31224940804336,2.03271759936688
0.4,0.225,-3.06443523120179,1.94803543473025
0.425,0.225,-3.64360935002875,1.84658980254197
0.45,0.225,-4.0848202298751,1.73220268679672
0.475,0.225,-4.4200348762958,1.60787079576355
0.5,0.225,-4.67135909882666,1.47595952381282
0.525,0.225,-4.84711385050828,1.33852254332649
0.55,0.225,-4.94132064968745,1.19766082226462
0.575,0.225,-4.93641499049559,1.05583916947244
0.6,0.225,-4.80832187415857,0.916089615525561
0.625,0.225,-4.53263369475164,0.782063351393179
0.65,0.225,-4.09055146349942,0.657928002588481
0.675,0.225,-3.47358207417695,0.548135066509689
0.7,0.225,-2.68647253698136,0.457101582045658
0.725,0.225,-1.74840925246766,0.388854428943017
0.75,0.225,-0.692821269640999,0.34667594371944
0.775,0.225,0.43382836536919,0.332779387496669
0.8,0.225,1.57408076625777,0.348032845090241
0.825,0.225,2.66246773774372,0.391748787208467
0.85,0.225,3.62972338865539,0.461561041082386
0.875,0.225,4.40839982845315,0.553419251857345
0.9,0.225,4.93964418128745,0.661732158871855
0.925,0.225,5.18030443317087,0.779678026398009
0.95,0.225,5.10903972074609,0.899675272531097
0.975,0.225,4.7299081680289,1.01397057036086
1,0.225,4.07222594548291,1.11526928593679
0,0.25,8.45222067263598,-0.353697107321414
0.025,0.25,10.2030421576739,-0.119420260578147
0.05,0.25,11.5264633742916,0.152203170394468
0.075,0.25,12.3420817936692,0.449082804343811
0.1,0.25,12.6094940820131,0.757691977414106
0.125,0.25,12.3299149808483,1.06411684181901
0.15,0.25,11.544237982368,1.35508911665666
0.175,0.25,10.3276608082083,1.61891597239875
0.2,0.25,8.78131603020468,1.84622483114556
0.225,0.25,7.02170902866194,2.03045799012801
0.25,0.25,5.16909281928879,2.16807951731721
0.275,0.25,3.33609385172801,2.25848803246411
0.3,0.25,1.61792720523029,2.30366467710943
0.325,0.25,0.0853619889463739,2.30761509118942
0.35,0.25,-1.21875812702504,2.27569104821997
0.375,0.25,-2.27913226497623,2.2138870413937
0.4,0.25,-3.10400834975427,2.12820766119995
0.425,0.25,-3.71840406691749,2.02418466213232
0.45,0.25,-4.1558213003702,1.90659125533906
0.475,0.25,-4.44998381390933,1.7793699879246
0.5,0.25,-4.62810331681425,1.64574296415324
0.525,0.25,-4.70679437062338,1.50844986883485
0.55,0.25,-4.69115102396237,1.37003376181454
0.575,0.25,-4.57674520877404,1.23309848598603
0.6,0.25,-4.35368251705188,1.10047646644728
0.625,0.25,-4.0114433799502,0.975275412919091
0.65,0.25,-3.54330807781392,0.860806366095776
0.675,0.25,-2.94949511873911,0.760420828091118
0.7,0.25,-2.23873796784423,0.677297095115255
0.725,0.25,-1.42855417430856,0.614216602607145
0.75,0.25,-0.544752448824065,0.573352965588533
0.775,0.25,0.379313959377179,0.5560866106233
0.8,0.25,1.3035806260357,0.56284421271968
0.825,0.25,2.1824324909718,0.592962435535297
0.85,0.25,2.96672253179354,0.644588208321442
0.875,0.25,3.6071404037914,0.714643085778699
0.9,0.25,4.05900578112243,0.798882116995864
0.925,0.25,4.28793857704472,0.892082184001444
0.95,0.25,4.2752394121738,0.988366231742782
0.975,0.25,4.02150333795949,1.08163997846655
1,0.25,3.54718490918527,1.16608294429189
0,0.275,8.73417058377153,-0.441602627321504
0.025,0.275,10.6428283616367,-0.195533409159349
0.05,0.275,12.1123345245429,0.0916633885859235
0.075,0.275,13.053069478451,0.407407392254137
0.1,0.275,13.4171855289103,0.737484990365425
0.125,0.275,13.2004932192043,1.06714947011133
0.15,0.275,12.4406478856721,1.38220753368039
0.175,0.275,11.2118054148346,1.67000399270974
0.2,0.275,9.61624069619927,1.92021916235632
0.225,0.275,7.77374648901946,2.12541557133661
0.25,0.275,5.80992670707564,2.28129393696031
0.275,0.275,3.84467333546918,2.38665327411827
0.3,0.275,1.98211819664641,2.44308070653336
0.325,0.275,0.303194809279039,2.45442717095096
0.35,0.275,-1.13841870610895,2.42615243581627
0.375,0.275,-2.31666199902699,2.36462723739357
0.4,0.275,-3.22999198232866,2.27648730668538
0.425,0.275,-3.89558606556456,2.16811224520451
0.45,0.275,-4.34203421981021,2.04527753115475
0.475,0.275,-4.60193487035492,1.91299633378544
0.5,0.275,-4.70573808261201,1.77552607218287
0.525,0.275,-4.6778287700853,1.63649478615239
0.55,0.275,-4.53524375607279,1.49907745540458
0.575,0.275,-4.28873738123973,1.36616382052087
0.6,0.275,-3.94535760416511,1.24046719892106
0.625,0.275,-3.51141563712528,1.12455740017226
0.65,0.275,-2.99484245615788,1.02082421518633
0.675,0.275,-2.40637024171189,0.931400254426543
0.7,0.275,-1.75953302173089,0.858077367164161
0.725,0.275,-1.07002062979688,0.802238543521748
0.75,0.275,-0.355087695971028,0.764814996987347
0.775,0.275,0.366421067724928,0.746254894030312
0.8,0.275,1.07333466123048,0.746483362979649
0.825,0.275,1.74118125114306,0.764840146131687
0.85,0.275,2.3417892117466,0.799994543890129
0.875,0.275,2.84430929176939,0.849864195662952
0.9,0.275,3.21805993380254,0.911579664668961
0.925,0.275,3.43688268320681,0.981536988853567
0.95,0.275,3.48399274507903,1.05556996716318
0.975,0.275,3.35583256111747,1.12923308004946
1,0.275,3.06354472954339,1.19815639531157
0,0.3,8.99252692842989,-0.523371948856366
0.025,0.3,11.0236890707696,-0.266728070622367
0.05,0.3,12.6068715596416,0.033993490045092
0.075,0.3,13.6460678606545,0.365840184875649
0.1,0.3,14.0882077080798,0.714089360662571
0.125,0.3,13.9250094643095,1.06337984955955
0.15,0.3,13.1910676055684,1.39882698490227
0.175,0.3,11.9584690720926,1.70703399832422
0.2,0.3,10.3285026678481,1.97691490862302
0.225,0.3,8.42128641162532,2.20027000562139
0.25,0.3,6.36440827877258,2.37207718355925
0.275,0.3,4.28176401457257,2.49049677074894
0.3,0.3,2.28378358434965,2.55661292000116
0.325,0.3,0.460031695270042,2.57396657765589
0.35,0.3,-1.12514688836169,2.54795150004165
0.375,0.3,-2.43369872668204,2.4851585871151
0.4,0.3,-3.45187969908117,2.39274500977361
0.425,0.3,-4.18588492824689,2.27789752218923
0.45,0.3,-4.65611237064905,2.14743143439688
0.475,0.3,-4.89120805857472,2.00753858210451
0.5,0.3,-4.92298483259657,1.8636727281902
0.525,0.3,-4.78294653127955,1.72053383544002
0.55,0.3,-4.50065705653923,1.58210620121738
0.575,0.3,-4.10363570417273,1.45170733128492
0.6,0.3,-3.61804531578691,1.33202087537799
0.625,0.3,-3.06930434168196,1.22510774328146
0.65,0.3,-2.4819544717759,1.13241081635833
0.675,0.3,-1.87858393960906,1.05477752684034
0.7,0.3,-1.27816166178042,0.992522969049791
0.725,0.3,-0.694544604672326,0.945537824991474
0.75,0.3,-0.136000619943956,0.913425829187492
0.775,0.3,0.393717679956484,0.895634093693673
0.8,0.3,0.892820302387772,0.891535668296546
0.825,0.3,1.35818248283542,0.900435060755855
0.85,0.3,1.7824578040844,0.92149078208577
0.875,0.3,2.1527875481078,0.95358051516562
0.9,0.3,2.45181265413083,0.995163488023689
0.925,0.3,2.66089150100821,1.04419687934673
0.95,0.3,2.76459489356347,1.09815537368723
0.975,0.3,2.75497189019406,1.1541664045294
1,0.3,2.63403098127091,1.2092384515134
0,0.325,9.24033873996399,-0.59314661582533
0.025,0.325,11.3526371867913,-0.327033349758051
0.05,0.325,13.011239164799,-0.0148838352085505
0.075,0.325,14.1169063383362,0.330108952031164
0.1,0.325,14.6138441439961,0.692911367713068
0.125,0.325,14.4911817478537,1.05779160150251
0.15,0.325,13.7807399663656,1.40943688584676
0.175,0.325,12.551538755136,1.73395947267288
0.2,0.325,10.9016953267544,2.01971672280458
0.225,0.325,8.94857889757585,2.25788968877448
0.25,0.325,6.81823384044963,2.44279652232818
0.275,0.325,4.63512217162986,2.57193749749384
0.3,0.325,2.51315927837265,2.64579884055043
0.325,0.325,0.548805885022843,2.66746321744422
0.35,0.325,-1.18331800825382,2.64208936672257
0.375,0.325,-2.63219349945646,2.57632859451978
0.4,0.325,-3.76976002835657,2.47774034439055
0.425,0.325,-4.58841197120911,2.35426053433223
0.45,0.325,-5.09737620456485,2.21375448644885
0.475,0.325,-5.31875565333161,2.06366910282189
0.5,0.325,-5.28393708922331,1.9107774842717
0.525,0.325,-5.03077535772632,1.76099902516883
0.55,0.325,-4.60159022640861,1.61927307100261
0.575,0.325,-4.04166225240538,1.4894686734006
0.6,0.325,-3.39767998076612,1.37432728263704
0.625,0.325,-2.71561734767053,1.27544896788559
0.65,0.325,-2.03781272230969,1.19334254525307
0.675,0.325,-1.39948080509252,1.12755795297619
0.7,0.325,-0.825384023097544,1.0769080889564
0.725,0.325,-0.327634763647967,1.03976210171746
0.75,0.325,0.0944519744127851,1.01436734027473
0.775,0.325,0.452030088907064,0.999141431124232
0.8,0.325,0.762208479212108,0.992872206669984
0.825,0.325,1.04239333932657,0.994783819656968
0.85,0.325,1.30497534567757,1.00445947745581
